order_id,order_date,customer_id,region,state,segment,category,product,sales_channel,payment_method,quantity,unit_price,discount,gross_sales,discount_amount,sales,cost,profit,profit_margin,shipping_cost,delivery_days,customer_rating
ORD00001,2025-01-31,CUST0382,North,Uttar Pradesh,Small Business,Home Appliances,Blender,Store,UPI,8,1413.04,0.0,11304.32,0.0,11304.32,6407.11,4897.21,0.4332,48.19,6,4.2
ORD00002,2025-12-30,CUST0417,Central,Madhya Pradesh,Corporate,Home Appliances,Coffee Maker,Store,Credit Card,5,978.53,0.1,4892.65,489.26,4403.38,3440.63,962.75,0.2186,107.06,6,4.0
ORD00003,2024-05-10,CUST0300,North,Uttar Pradesh,Small Business,Furniture,Bookshelf,Online,Credit Card,5,1337.01,0.1,6685.05,668.51,6016.54,3330.51,2686.03,0.4464,266.98,2,4.4
ORD00004,2025-07-18,CUST0237,South,Telangana,Consumer,Furniture,Cabinet,Store,Net Banking,1,1181.96,0.0,1181.96,0.0,1181.96,949.84,232.12,0.1964,162.95,2,3.8
ORD00005,2025-02-04,CUST0153,East,Bihar,Small Business,Electronics,Laptop,Online,UPI,10,56.58,0.1,565.8,56.58,509.22,398.71,110.51,0.217,251.03,1,3.0
ORD00006,2024-12-31,CUST0291,Central,Chhattisgarh,Consumer,Office Supplies,Stapler,Online,UPI,8,112.18,0.0,897.44,0.0,897.44,675.96,221.48,0.2468,22.14,9,4.4
ORD00007,2024-11-10,CUST0419,North,Haryana,Corporate,Clothing,Shoes,Online,Credit Card,7,795.73,0.05,5570.11,278.51,5291.6,4314.19,977.42,0.1847,206.52,1,4.0
ORD00008,2022-05-02,CUST0577,North,Haryana,Consumer,Home Appliances,Vacuum Cleaner,Partner,Net Banking,1,207.48,0.15,207.48,31.12,176.36,99.56,76.8,0.4355,103.98,6,3.6
ORD00009,2023-04-12,CUST0427,North,Uttar Pradesh,Corporate,Home Appliances,Vacuum Cleaner,Store,Net Banking,4,699.64,0.0,2798.56,0.0,2798.56,2024.01,774.55,0.2768,261.02,9,4.1
ORD00010,2025-05-23,CUST0452,North,Uttar Pradesh,Corporate,Electronics,Tablet,Online,UPI,4,1432.63,0.1,5730.52,573.05,5157.47,4019.27,1138.19,0.2207,284.33,6,4.1
ORD00011,2022-11-27,CUST0762,South,Tamil Nadu,Consumer,Home Appliances,Vacuum Cleaner,Online,Cash,9,452.71,0.2,4074.39,814.88,3259.51,1904.16,1355.35,0.4158,212.53,6,4.3
ORD00012,2022-03-29,CUST0190,West,Goa,Consumer,Office Supplies,File Folder,Online,Net Banking,10,741.04,0.0,7410.4,0.0,7410.4,5245.74,2164.66,0.2921,60.9,4,4.2
ORD00013,2025-10-28,CUST0159,South,Andhra Pradesh,Corporate,Electronics,Monitor,Online,UPI,2,585.63,0.1,1171.26,117.13,1054.13,691.89,362.24,0.3436,151.07,5,4.8
ORD00014,2025-01-28,CUST0924,North,Delhi,Consumer,Office Supplies,File Folder,Store,UPI,4,950.29,0.1,3801.16,380.12,3421.04,2284.14,1136.9,0.3323,150.06,1,3.8
ORD00015,2024-05-21,CUST0907,West,Rajasthan,Consumer,Electronics,Monitor,Store,Credit Card,10,302.86,0.1,3028.6,302.86,2725.74,2170.73,555.01,0.2036,252.48,3,4.6
ORD00016,2022-05-11,CUST0032,South,Andhra Pradesh,Consumer,Home Appliances,Blender,Partner,Debit Card,3,401.01,0.1,1203.03,120.3,1082.73,752.97,329.76,0.3046,148.97,6,3.8
ORD00017,2025-08-25,CUST0322,South,Andhra Pradesh,Consumer,Electronics,Tablet,Partner,Credit Card,10,1290.27,0.1,12902.7,1290.27,11612.43,6679.25,4933.18,0.4248,113.14,2,3.1
ORD00018,2024-02-09,CUST0060,South,Tamil Nadu,Small Business,Furniture,Desk,Store,Credit Card,5,1219.83,0.0,6099.15,0.0,6099.15,4897.91,1201.24,0.197,191.18,1,4.8
